"1782","7","44"
"1783","7","44"
"1784","7","44"
"1785","7","44"
"1786","7","44"
"1787","7","44"
"1788","6,7","27,44"
"1789","6,7","27,44"
"1790","6,7","27,44"
"1791","7","44"
"1792","7","41,44"
"1793","7,7,7,7","39,40,41,44"
"1794","6,7","27,44"
"1795","7,7","41,44"
"1796","7,7","41,44"
"1797","7","44"
"1798","7,7","39,44"
"1799","7,7","42,44"
"1800","8","52"
"1801","8","51"
"1802","8","51"
"1803","8","51"
"1804","8","51"
"1805","8","15"
"1806","8","51"
"1807","8","51"
"1808","8","51"
"1809","3","16"
"1810","3","16"
"1811","3","16"
"1812","3","16"
"1813","3","16"
"1814","3","16"
"1815","3","16"
"1816","3","16"
"1817","3","18"
"1818","5","60"
"1819","5","60"
"1820","2,7","1,44"
"1821","2,7","1,44"
"1822","2,7","1,44"
"1823","2,7","1,44"
"1824","2,3,7","1,14,44"
"1825","2,2","1,4"
"1826","2,6","1,32"
"1827","2,2,2","1,2,4"
"1828","2,6","1,32"
"1829","4","6"
"1830","4,4","6,11"
"1831","4,4","6,11"
"1832","4,4","6,11"
"1833","4,4","6,11"
"1834","4,4","6,11"
"1835","4,4","6,11"
"1836","4,4","6,11"
"1837","4,4","6,11"
"1838","4,4","6,11"
"1839","4,4","6,11"
"1840","4,4","6,11"
"1841","4,4","6,11"
"1842","1,6,7,7,7","50,28,39,41,44"
"1843","1,6,6","50,27,28"
"1844","6","23"
"1845","6","23"
"1846","6","23"
"1847","6","23"
"1848","6","23"
"1849","6,6,6","22,27,28"
"1850","6,7","28,42"
"1851","6,6","27,28"
"1852","6,6","27,28"
"1853","7","44"
"1854","7","44"
"1855","7,7","43,44"
"1856","1,7,7","50,41,44"
"1857","7","44"
"1858","7","44"
"1859","7","44"
"1860","7","44"
"1861","7","44"
"1862","7","44"
"1863","7","44"
"1864","7","44"
"1865","7","44"
"1866","1,7,8","50,41,51"
"1867","7,8","38,51"
"1868","7,8","38,51"
"1869","7,8","38,51"
"1870","8","51"
"1871","8","51"
"1872","8","51"
"1873","3","14"
"1874","3","18"
"1875","3","16"
"1876","3","14"
"1877","3","14"
"1878","3","18"
"1879","3","14"
"1880","3","18"
"1881","3","16"
"1882","3","14"
"1883","3","14"
"1884","5","60"
"1885","2,2,4","1,2,11"
"1886","2","1"
"1887","2","1"
"1888","2,2","1,4"
"1889","1,2","50,1"
"1890","2,2,2","1,2,4"
"1891","4,4","6,7"
"1892","4,4","6,9"
"1893","4,4","6,11"
"1894","4,4","6,11"
"1895","4,4","6,11"
"1896","4","6"
"1897","4","6"
"1898","4,4","6,11"
"1899","4,4","6,11"
"1900","4,4","6,11"
"1901","1,6,6","50,27,28"
"1902","1,6,6,7,7","50,27,28,43,44"
"1903","1,6,6,7,7","50,27,28,43,44"
"1904","1,6,6,7,7","50,27,28,43,44"
"1905","1,6,6,7,7","50,27,28,43,44"
"1906","1,6,6,7,7","50,27,28,43,44"
"1907","1,6,6,7,7","50,27,28,43,44"
"1908","1,6,6,7,7","50,27,28,43,44"
"1909","1,6,6,7,7","50,27,28,43,44"
"1910","6,7","28,42"
"1911","6","28"
"1912","7,7","41,44"
"1913","1,2,7,7","50,1,41,44"
"1914","2,7,7","1,41,44"
"1915","2,7,7","1,41,44"
"1916","2,7,7,7","1,41,43,44"
